genus,species,taxid,method
Herbaspirillum,seropedicae,964,automatic
Histophilus,somni,731,automatic
Hungatella,hathewayi,154046,automatic
Hydrogenobacter,thermophilus,940,automatic
Hydrogenophaga,intermedia,65786,automatic
Hydrogenovibrio,marinus,28885,automatic
Idiomarina,loihiensis,135577,automatic
Intestinimonas,butyriciproducens,1297617,automatic
Janthinobacterium,agaricidamnosum,55508,automatic
Jejuia,pallidilutea,504487,automatic
Jeotgalibaca,dankookensis,708126,automatic
Jonquetella,anthropi,428712,automatic
Kandleria,vitulina,1630,automatic
Ketogulonicigenium,vulgare,92945,automatic
Kinetoplastibacterium,blastocrithidii,233181,automatic
Kinetoplastibacterium,crithidii,33056,automatic
Kingella,kingae,504,automatic
Kitasatospora,setae,2066,automatic
Klebsiella,[Enterobacter] aerogenes,548,automatic
Klebsiella,oxytoca,571,automatic
Klebsiella,pneumoniae,573,automatic
Klebsiella,variicola,244366,automatic
Kocuria,kristinae,37923,automatic
Kocuria,palustris,71999,automatic
Kocuria,rhizophila,72000,automatic
Komagataeibacter,europaeus,33995,automatic
Komagataeibacter,hansenii,436,automatic
Komagataeibacter,intermedius,66229,automatic
Kordiimonas,gwangyangensis,288022,automatic
Kosakonia,radicincitans,283686,automatic
Kutzneria,albida,43357,automatic
Kytococcus,sedentarius,1276,automatic
Labrenzia,alba,311410,automatic
Labrenzia,alexandrii,388408,automatic
Lachnoanaerobaculum,saburreum,467210,automatic
Lachnobacterium,bovis,140626,automatic
Lachnoclostridium,[Clostridium] bolteae,208479,automatic
Lachnoclostridium,[Clostridium] citroniae,358743,automatic
Lachnoclostridium,[Clostridium] clostridioforme,1531,manual
Lachnoclostridium,[Clostridium] symbiosum,1512,automatic
Lachnoclostridium,phytofermentans,66219,automatic
Lachnospira,multipara,28051,automatic
Lactobacillus,acetotolerans,1600,automatic
Lactobacillus,acidipiscis,89059,automatic
Lactobacillus,acidophilus,1579,automatic
Lactobacillus,agilis,1601,automatic
Lactobacillus,amylolyticus,83683,automatic
Lactobacillus,amylovorus,1604,automatic
Lactobacillus,animalis,1605,automatic
Lactobacillus,antri,227943,automatic
Lactobacillus,apodemi,307126,automatic
Lactobacillus,brevis,1580,automatic
Lactobacillus,buchneri,1581,automatic
Lactobacillus,camelliae,381742,automatic
Lactobacillus,casei,1582,automatic
Lactobacillus,ceti,395085,automatic
Lactobacillus,collinoides,33960,automatic
Lactobacillus,composti,398555,automatic
Lactobacillus,coryniformis,1610,automatic
Lactobacillus,crispatus,47770,automatic
Lactobacillus,crustorum,392416,automatic
Lactobacillus,curvatus,28038,automatic
Lactobacillus,delbrueckii,1584,automatic
Lactobacillus,equi,137357,automatic
Lactobacillus,equicursoris,420645,automatic
Lactobacillus,equigenerosi,417373,automatic
Lactobacillus,fabifermentans,483011,automatic
Lactobacillus,farciminis,1612,automatic
Lactobacillus,farraginis,390841,automatic
Lactobacillus,fermentum,1613,automatic
Lactobacillus,floricola,679249,automatic
Lactobacillus,florum,640331,automatic
Lactobacillus,fructivorans,1614,automatic
Lactobacillus,fuchuensis,164393,automatic
Lactobacillus,gallinarum,52242,automatic
Lactobacillus,gastricus,227942,automatic
Lactobacillus,gigeriorum,1203069,automatic
Lactobacillus,hamsteri,96565,automatic
Lactobacillus,harbinensis,304207,automatic
Lactobacillus,hayakitensis,396716,automatic
Lactobacillus,helveticus,1587,automatic
Lactobacillus,hilgardii,1588,automatic
Lactobacillus,hokkaidonensis,1193095,automatic
Lactobacillus,hominis,1203033,automatic
Lactobacillus,iners,147802,automatic
Lactobacillus,ingluviei,148604,automatic
Lactobacillus,jensenii,109790,automatic
Lactobacillus,johnsonii,33959,automatic
Lactobacillus,kefiranofaciens,267818,automatic
Lactobacillus,kisonensis,481722,automatic
Lactobacillus,kitasatonis,237446,automatic
Lactobacillus,koreensis,637971,automatic
Lactobacillus,kunkeei,148814,automatic
Lactobacillus,lindneri,53444,automatic
Lactobacillus,malefermentans,176292,automatic
Lactobacillus,mali,1618,automatic
Lactobacillus,mucosae,97478,automatic
Lactobacillus,murinus,1622,automatic
Lactobacillus,namurensis,380393,automatic
Lactobacillus,nasuensis,944671,automatic
Lactobacillus,nodensis,460870,automatic
Lactobacillus,oris,1632,automatic
Lactobacillus,otakiensis,481720,automatic
Lactobacillus,panis,47493,automatic
Lactobacillus,pantheris,171523,automatic
Lactobacillus,parabrevis,357278,automatic
Lactobacillus,parabuchneri,152331,automatic
Lactobacillus,paracasei,1597,automatic
Lactobacillus,paracollinoides,240427,automatic
Lactobacillus,parafarraginis,390842,automatic
Lactobacillus,paralimentarius,83526,automatic
Lactobacillus,paraplantarum,60520,automatic
Lactobacillus,pasteurii,872327,automatic
Lactobacillus,pentosus,1589,automatic
Lactobacillus,plantarum,1590,automatic
Lactobacillus,pobuzihii,449659,automatic
Lactobacillus,psittaci,116089,automatic
Lactobacillus,reuteri,1598,automatic
Lactobacillus,rhamnosus,47715,automatic
Lactobacillus,rossiae,231049,automatic
Lactobacillus,ruminis,1623,automatic
Lactobacillus,saerimneri,228229,automatic
