genus,species,genome,old_taxid,new_taxid,species_has_match,new_in_match,reclassified
Enterobacter,hormaechei,GCF_000952475.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000784035.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000956935.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001525325.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001472765.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000802785.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000952655.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000958665.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_001472915.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001471885.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000952515.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000784115.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000952285.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000952195.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_001473055.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001025045.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_001526185.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001022775.1,301102,1296536,True,True,False
Francisella,tularensis,GCF_000834965.1,119856,264,True,True,False
Klebsiella,pneumoniae,GCF_001030745.1,571,573,True,False,True
Lactobacillus,casei,GCF_001062665.1,1582,1597,True,True,False
Lactobacillus,casei,GCF_000309765.1,1051655,1597,True,True,False
Lactobacillus,casei,GCF_001066565.1,1582,1597,True,True,False
Lactobacillus,casei,GCF_000472345.1,1051650,1597,True,True,False
Lactobacillus,casei,GCF_000474615.1,1378069,1597,True,True,False
Lactobacillus,casei,GCF_001062695.1,1582,1597,True,True,False
Lactobacillus,casei,GCF_000376145.1,1051661,1597,True,True,False
Lactobacillus,paracasei,GCF_000309785.1,1051656,1597,True,False,True
Lactobacillus,paracasei,GCF_000827145.1,1582,1597,True,False,True
Lactobacillus,paracasei,GCF_000309685.1,1051658,1597,True,False,True
Lactobacillus,paracasei,GCF_000309645.1,1051654,1597,True,False,True
Lactobacillus,paracasei,GCF_000309665.1,1051657,1597,True,False,True
