id,base_threshold,final_threshold,coverage
1069,0.004824013,0.0048240129835903645,1.0
1071,0.1330398,0.13303980231285095,1.0
1076,0.6,0.6,0.5
1077,0.24601786,0.24601785838603973,1.0
1078,0.0024875621,0.002487562131136656,1.0
1080,0.002335013,0.0023350128903985023,1.0
1081,0.27565283,0.27565282583236694,1.0
1083,0.08990181,0.08990181237459183,1.0
1084,0.0014769491,0.001476949080824852,1.0
1085,0.0098588625,0.00985886249691248,1.0
1086,0.6,0.6,0.5
1087,0.055023924,0.0550239235162735,1.0
1088,0.61751795,0.6175179481506348,1.0
1089,0.6072261,0.6072260737419128,1.0
1090,0.15200052,0.1520005166530609,1.0
1091,0.065416895,0.06541689485311508,1.0
1203,0.02303689,0.023036889731884003,1.0
1206,0.15088677,0.15088677406311035,1.0
1244,0.026809651,0.026809651404619217,1.0
1254,0.20404638,0.20404638350009918,1.0
1299,0.48990253,0.489902526140213,1.0
1375,0.034849696,0.03484969586133957,1.0
1392,0.017984472,0.01798447221517563,1.0
1397,0.32578096,0.3257809579372406,1.0
1502,0.0014650226,0.0014650225639343262,1.0
1621,0.00017699115,0.00017699114687275141,1.0
1631,0.039846893,0.03984689339995384,1.0
1760,0.35115257,0.35115256905555725,1.0
1841,0.24043433,0.24043433368206024,1.0
1843,0.03851863,0.03851862996816635,1.0
716,0.7536488,0.7536488175392151,1.0
705,0.6035242,0.6035242080688477,1.0
1415,0.42223322,0.4222332239151001,1.0
697,0.43069088,0.4306908845901489,1.0
1416,0.6480367,0.6480367183685303,1.0
1263,0.006305977,0.0063059767708182335,1.0
775,0.0009044862,0.0009044862235896289,1.0
528,0.59357125,0.5935712456703186,1.0
530,0.49563274,0.49563273787498474,1.0
534,0.40421632,0.40421631932258606,1.0
633,0.5570028,0.5570027828216553,1.0
637,0.3915396,0.391539603471756,1.0
1093,0.6853183,0.6853182911872864,1.0
1894,0.14658804,0.1465880423784256,1.0
1094,0.6580906,0.6580905914306641,1.0
1453,0.2962925,0.2962925136089325,1.0
1097,0.27391508,0.2739150822162628,1.0
1783,0.36927122,0.3692712187767029,1.0
1686,0.006198929,0.0061989291571080685,1.0
502,0.5962594,0.5962594151496887,1.0
1099,0.1351527,0.1351526975631714,1.0
1428,0.92796147,0.9279614686965942,1.0
1103,0.0028146813,0.0028146812692284584,1.0
1421,0.0026921195,0.002692119451239705,1.0
1200,0.97908324,0.939911738038063,0.28
1202,0.6391223,0.6391223073005676,1.0
1374,0.4393612,0.43936121463775635,1.0
1787,0.1999179,0.19991789758205414,1.0
1901,0.97468036,0.9427114754915237,0.7222222222222222
1902,0.6834818,0.6834818124771118,1.0
1903,0.005592841,0.005592841189354658,1.0
1904,0.5783703,0.5783702731132507,1.0
1905,0.6495094,0.6495093703269958,1.0
1906,0.7003346,0.7003346085548401,1.0
1907,0.35984927,0.3598492741584778,1.0
1908,0.6,0.6,0.5838287752675386
1909,0.55,0.5398385196924209,0.7711058263971462
1910,0.78530675,0.7853067517280579,1.0
1911,0.363272,0.3632720112800598,1.0
1912,0.20288604,0.20288604497909546,1.0
1913,0.31701547,0.31701546907424927,1.0
1914,0.4243319,0.4243319034576416,1.0
1915,0.25,0.25,0.2964876033057851
1916,0.00515394,0.005153940059244633,1.0
1917,0.014212236,0.014212235808372498,1.0
1918,0.4378835,0.42777640074491496,0.8903591682419659
