uid,refseq_acc,primary_taxid,species_taxid,use
9526331,GCF_017356265.1,1815556,1815556,True
9526721,GCF_017357045.1,2020965,2020965,True
9526821,GCF_017357245.1,1138189,1138189,True
9526841,GCF_017357285.1,2081791,2081791,True
952711,GCF_001953055.1,2712698,2712698,True
952761,GCF_001953175.1,1839801,1839801,True
952841,GCF_001953295.1,28034,28034,True
952861,GCF_001953355.1,1743169,1743169,True
953011,GCF_001953635.1,1892904,1892904,True
953121,GCF_001953865.1,76021,76021,True
953141,GCF_001953875.1,681158,681158,True
9531721,GCF_017368815.1,117506,117506,False
9536771,GCF_017377355.1,45656,45656,True
9536791,GCF_017377395.1,45655,45655,True
9537241,GCF_017377715.1,2661687,2661687,True
9537261,GCF_017377745.1,1502841,1502841,False
9537311,GCF_017377855.1,442870,442870,True
9537501,GCF_017378515.1,762210,762210,True
954021,GCF_001955655.1,263476,263476,False
954031,GCF_001955695.1,1842727,1842727,False
954041,GCF_001955715.1,1484693,1484693,True
954051,GCF_001955735.1,81479,81479,True
954201,GCF_001956035.1,1451,1451,True
954351,GCF_001956315.1,1843236,1843236,True
954561,GCF_001956695.1,1850254,1850254,False
954711,GCF_001956915.1,1428657,1428657,False
954771,GCF_001956985.1,1387353,1387353,True
954891,GCF_900156785.1,529505,529505,True
954901,GCF_900156105.1,159291,159291,True
954911,GCF_900155985.1,228959,228959,True
954931,GCF_900156415.1,1077936,1077936,True
954941,GCF_900156575.1,297244,297244,True
