accession,species_v11_idx1,species_v12_idx1
GCF_000149165.1,215,1231
GCF_000152065.1,391,1262
GCF_000152105.1,834,1302
GCF_000152165.1,869,359
GCF_000152285.1,301,949
GCF_000152305.1,294,959
GCF_000152325.1,297,954
GCF_000152345.1,297,954
GCF_000152365.1,297,954
GCF_000152385.1,294,959
GCF_000152405.1,294,959
GCF_000152425.1,1368,503
GCF_000152465.2,1368,503
GCF_000152525.1,1044,178
GCF_000152545.1,1044,178
GCF_000152685.2,297,954
GCF_000152765.1,1389,525
GCF_000153085.1,294,959
GCF_000153265.1,962,494
GCF_000153465.1,113,1434
GCF_000153505.1,1363,502
GCF_000153525.1,956,1206
GCF_000153605.1,910,888
GCF_000153625.3,518,695
GCF_000153645.1,771,125
GCF_000153665.1,1205,922
GCF_000153685.2,834,1302
GCF_000153705.1,514,292
GCF_000153765.1,776,364
GCF_000153785.2,1368,503
GCF_000153845.1,510,165
GCF_000153865.1,1368,503
GCF_000153945.1,1368,503
GCF_000153965.1,1368,503
GCF_000153985.2,1368,503
GCF_000154005.2,1368,503
GCF_000154025.1,1367,509
GCF_000154045.1,1384,505
GCF_000154085.1,201,1224
GCF_000154105.1,930,375
GCF_000154125.1,174,634
GCF_000154145.1,510,165
GCF_000154165.1,510,165
GCF_000154185.1,510,165
GCF_000154205.1,180,627
GCF_000154225.1,55,68
GCF_000154265.1,510,165
GCF_000154325.1,1136,1
GCF_000154365.1,606,1190
GCF_000154405.1,944,441
GCF_000154525.1,178,637
GCF_000154585.2,834,1302
GCF_000154605.2,834,1302
GCF_000154865.1,1036,437
GCF_000154925.1,1276,1387
GCF_000154945.1,1289,1407
GCF_000154985.1,1239,1001
GCF_000155105.1,488,426
GCF_000155125.1,489,424
GCF_000155145.1,834,1302
GCF_000155165.1,834,1302
GCF_000155205.1,1140,1313
GCF_000155225.1,834,1302
GCF_000155325.1,152,1062
GCF_000155355.1,152,1062
GCF_000155375.1,152,1062
GCF_000155395.1,205,1225
GCF_000155415.1,220,1241
GCF_000155455.1,560,129
GCF_000155475.1,561,128
GCF_000155495.1,563,132
GCF_000155515.2,624,817
GCF_000155535.1,510,165
GCF_000155655.1,876,881
GCF_000155755.1,510,165
GCF_000155795.1,834,1302
GCF_000155815.1,166,633
GCF_000155915.2,656,1171
GCF_000155995.1,449,414
GCF_000156075.1,165,257
GCF_000156095.1,1308,94
GCF_000156275.2,307,1286
GCF_000156415.1,510,165
GCF_000156455.1,1280,1378
GCF_000156475.1,1265,1383
GCF_000156495.1,929,374
GCF_000156575.1,94,1419
GCF_000156595.1,381,1282
GCF_000156635.1,202,1226
GCF_000156695.2,1280,1378
GCF_000156715.1,509,166
GCF_000156735.1,1402,724
GCF_000156755.1,867,357
GCF_000156775.1,867,357
GCF_000156795.1,867,357
GCF_000156815.1,867,357
GCF_000156835.2,867,357
GCF_000156855.2,867,357
GCF_000156875.1,867,357
GCF_000156895.1,867,357
GCF_000156915.1,867,357
GCF_000156935.1,867,357
GCF_000156955.1,867,357
GCF_000156975.1,867,357
GCF_000156995.1,1052,197
GCF_000157015.1,168,625
GCF_000157135.1,462,1016
